//Docenten Donald Knuth College
//117 docenten
//aanhef, titel, intitialen, voorvoegsels en achternaam zijn samengevoegd
//velden: docentID, volledigeNaam, postvaknummer, emailadres
//datum: 12-10-2011
//versie: 2
//BOERM ; dhr. ir. mw. M. Boerebach ; 63 ; BOERM@DKC.NL vernaderd in:
//BOERM ; dhr. ir. M. Boerebach ; 63 ; BOERM@DKC.NL



BAARR ; mw. drs. R.Baart ; 41 ; BAARR@DKC.NL
BABER ; dhr. R.Babel ; 48 ; BABER@DKC.NL
BACUL ; dhr. L.Bacuna ; 55 ; BACUL@DKC.NL
BAKAX ; dhr. A.Bak ; 62 ; BAKAX@DKC.NL
BAKET ; dhr. T.Bakens ; 69 ; BAKET@DKC.NL
BAKHB ; mw. B.B.Bakhuys ; 76 ; BAKHB@DKC.NL
BAKKO ; mw. O.O.Bakkal ; 83 ; BAKKO@DKC.NL
BAKKY ; dhr. ir. Y.Bakkati ; 90 ; BAKKY@DKC.NL
BAKKB ; mw. drs. B.Z.N.Bakker ; 97 ; BAKKB@DKC.NL
BAKXI ; dhr. mr. I.C.Bakx ; 104 ; BAKXI@DKC.NL
BALSG ; dhr. G.Bals ; 111 ; BALSG@DKC.NL
BARAA ; mw. drs. A.Barakat ; 118 ; BARAA@DKC.NL
BAREJ ; dhr. drs. J. Barendregt ; 4 ; BAREJ@DKC.NL
BARTL ; mw. L.Barth ; 11 ; BARTL@DKC.NL
BARNJ ; dhr. drs. J. van Barneveld ; 18 ; BARNJ@DKC.NL
BASTM ; mw. M. van Basten ; 25 ; BASTM@DKC.NL
BEEKC ; dhr. C.C.Beekink ; 32 ; BEEKC@DKC.NL
BEEND ; dhr. D.Been ; 39 ; BEEND@DKC.NL
BEENM ; dhr. M.Been ; 46 ; BEENM@DKC.NL
BEENL ; dhr. dr. ir. L.Beenhakker ; 53 ; BEENL@DKC.NL
BEERR ; dhr. R.Beerens ; 60 ; BEERR@DKC.NL
BENOA ; dhr. ir. A.Benomar ; 67 ; BENOA@DKC.NL
BEELM ; dhr. M.M.M.Beelenkamp ; 74 ; BEELM@DKC.NL
BERGP ; mw. drs. P. van den Berg ; 81 ; BERGP@DKC.NL
BERGR ; mw. drs. R. van den Berg ; 88 ; BERGR@DKC.NL
BERGD ; dhr. D. van den Bergh ; 95 ; BERGD@DKC.NL
BERGH ; mw. R.N.A. van den Bergh ; 102 ; BERGH@DKC.NL
BERGG ; dhr. G.Bergholtz ; 109 ; BERGG@DKC.NL
BERGF ; dhr. F.Berghuis ; 116 ; BERGF@DKC.NL
BERGX ; dhr. X.Bergkamp ; 2 ; BERGX@DKC.NL
BERRE ; mw. R.E.T.Bergkamp ; 9 ; BERRE@DKC.NL
BEUKR ; dhr. drs. R.Beukenkamp ; 16 ; BEUKR@DKC.NL
BEUKJ ; dhr. ir. J. van Beukering ; 23 ; BEUKJ@DKC.NL
BEVEJ ; dhr. J.H.M. van Beveren ; 30 ; BEVEJ@DKC.NL
BEVEW ; dhr. W. van Beveren ; 37 ; BEVEW@DKC.NL
BIESL ; mw. drs. L.Biesbrouck ; 44 ; BIESL@DKC.NL
BISCF ; mw. F.Bischot ; 51 ; BISCF@DKC.NL
BISED ; mw. D.Biseswar ; 58 ; BISED@DKC.NL
BIYAM ; dhr. M.Biyadat ; 65 ; BIYAM@DKC.NL
BLANF ; dhr. F.Blankemeijer ; 72 ; BLANF@DKC.NL
BLEWW ; mw. drs. W.W.Bleijenberg ; 79 ; BLEWW@DKC.NL
BLEUE ; dhr. E.Bleuming ; 86 ; BLEUE@DKC.NL
BLIND ; dhr. D.Blind ; 93 ; BLIND@DKC.NL
BLINR ; dhr. R.Blinker ; 100 ; BLINR@DKC.NL
BLOEB ; dhr. drs. B.B.Bloemendaal ; 107 ; BLOEB@DKC.NL
BLUMH ; dhr. H.Blume ; 114 ; BLUMH@DKC.NL
BOATG ; mw. G.Boateng ; 0 ; BOATG@DKC.NL
BOBSK ; mw. K.Bobson ; 7 ; BOBSK@DKC.NL
BODDF ; mw. drs. F.Bodde ; 14 ; BODDF@DKC.NL
BOEKL ; dhr.L. te Boekhorst ; 21 ; BOEKL@DKC.NL
BOEKC ; dhr. ir. C. Boekweg ; 28 ; BOEKC@DKC.NL
