2402 ; Alexei ;  ; IJntema ; M ; 1B1 ; 2371
3112 ; Freek ;  ; Brilstra ; M ; 1B1 ; 7341
2338 ; Michaël ;  ; Medema ; M ; 1B1 ; 1923
2898 ; Samson ;  ; Oldersma ; M ; 1B1 ; 5843
2593 ; Elisabeth ; van ; Wielema ; V ; 1B1 ; 3708
2457 ; Paulette ;  ; Sminia ; V ; 1B1 ; 2742
2584 ; Gérard ;  ; Matla ; M ; 1B1 ; 3645
2635 ; Katja ;  ; Sytsema ; V ; 1B1 ; 4002
2271 ; Ibrich ;  ; Kylstra ; V ; 1B1 ; 1447
2742 ; Corné ;  ; Petstra ; M ; 1B1 ; 4751
2359 ; Christiane ;  ; Jouwsma ; V ; 1B1 ; 2063
3282 ; Gustaaf ;  ; Sijbesma ; M ; 1B1 ; 8531
2556 ; Justus ;  ; Douwma ; M ; 1B1 ; 3435
3263 ; Yurani ;  ; Ververda ; V ; 1B1 ; 8398
3251 ; Angelica ;  ; Hogema ; V ; 1B1 ; 8314
3203 ; Hanneke ;  ; Eijsinga ; V ; 1B1 ; 7978
2691 ; Saerkin ;  ; Feddema ; V ; 1B1 ; 4380
3239 ; Bieke ;  ; Talsma ; V ; 1B1 ; 8230
3108 ; Thibaut ;  ; Wiringa ; M ; 1B1 ; 7313
2473 ; Yke ; van ; Offeringa ; V ; 1B1 ; 2868
2569 ; Indy ;  ; Troelstra ; V ; 1B1 ; 3540
3137 ; Eloise ; de ; Geertruida ; V ; 1B1 ; 7516
2369 ; Wies ;  ; Steginga ; V ; 1B1 ; 2119
2997 ; Jocelyn ; de ; Zwaginga ; V ; 1B1 ; 6536
2920 ; Aäron ;  ; Monsma ; M ; 1B1 ; 5997
2381 ; Svetlana ;  ; Heinstra ; V ; 1B1 ; 2203
3201 ; Danila ;  ; Boringa ; V ; 1B1 ; 7964
2746 ; Liam ;  ; Spoelstra ; M ; 1B1 ; 4779
2867 ; Ismene ;  ; Brinxma ; V ; 1B1 ; 5619
3210 ; Boy ;  ; Lodema ; M ; 1B1 ; 8027
3246 ; Rakesh ;  ; Boutsma ; M ; 1B2 ; 8279
2845 ; Neelie ;  ; Bultsma ; V ; 1B2 ; 5465
3128 ; Thorben ;  ; Tolstra ; M ; 1B2 ; 7453
2377 ; Lizzy ;  ; Broksma ; V ; 1B2 ; 2175
3079 ; Renske ;  ; Rintjema ; V ; 1B2 ; 7110
3047 ; Frederike ;  ; Ferweda ; V ; 1B2 ; 6886
2247 ; Leena ;  ; Jolsma ; V ; 1B2 ; 1279
3191 ; Jeanne ;  ; Roelinga ; V ; 1B2 ; 7894
2229 ; Brenda ;  ; Lousma ; V ; 1B2 ; 1139
3179 ; Kim  ;  ; Brama ; V ; 1B2 ; 7810
3202 ; Gerwin ;  ; Buursma ; M ; 1B2 ; 7971
2910 ; Zoltán ;  ; Boksma ; M ; 1B2 ; 5927
2643 ; Aurore ;  ; Bieringa ; V ; 1B2 ; 4044
2370 ; Servien ;  ; Woldenga ; M ; 1B2 ; 2147
2640 ; Urbanus ;  ; Wiglema ; M ; 1B2 ; 4023
3021 ; Foekje ;  ; Bellinga ; V ; 1B2 ; 6704
3213 ; Bernadette ; van ; Rijpsma ; V ; 1B2 ; 8048
2449 ; Bernice ;  ; Lamstra ; V ; 1B2 ; 2700
3279 ; Djoeke ;  ; Poldersma ; V ; 1B2 ; 8510
2339 ; Mariska ;  ; Medema ; V ; 1B2 ; 1923
3308 ; Wijnand ;  ; Vriesenga ; M ; 1B2 ; 8713
3050 ; Anton ;  ; Hoolsema ; M ; 1B2 ; 6907
2343 ; Vivien ;  ; Schrijfsma ; V ; 1B2 ; 1951
3034 ; John ;  ; Riepstra ; M ; 1B2 ; 6795
2776 ; Louw ;  ; Boorsma ; M ; 1B2 ; 4989
2862 ; Drewes ;  ; Wobbema ; M ; 1B2 ; 5591
3155 ; Marrie ;  ; Beerstra ; V ; 1B2 ; 7642
3054 ; Joost ;  ; Menninga ; M ; 1B2 ; 6935
2647 ; Janis ;  ; Hobbema ; V ; 1B2 ; 4086
3122 ; Fries ;  ; Panstra ; M ; 1B3 ; 7411
2842 ; Dominik ;  ; Beista ; M ; 1B3 ; 5451
2515 ; Doetje ;  ; Kema ; V ; 1B3 ; 3162
2676 ; Kyrell ;  ; Morrema ; M ; 1B3 ; 4275
2300 ; Ruud ;  ; Sijtsinga ; M ; 1B3 ; 1643
2773 ; Canisha ;  ; Wienija ; V ; 1B3 ; 4961
3109 ; Ariaan ;  ; Abma ; V ; 1B3 ; 7320
3245 ; Madelon ;  ; Bijma ; V ; 1B3 ; 8272
2670 ; Vincent ;  ; Haga ; M ; 1B3 ; 4233
2614 ; Gert ;  ; Unema ; M ; 1B3 ; 3855
2611 ; Marjolein ;  ; Sijbertsma ; V ; 1B3 ; 3834
3006 ; Nathan ;  ; Imminga ; M ; 1B3 ; 6599
2721 ; Bibianne ;  ; Oegema ; V ; 1B3 ; 4590
2996 ; Nadi ;  ; Wijnia ; M ; 1B3 ; 6529
3284 ; Leander ;  ; Terpstra ; M ; 1B3 ; 8545
2560 ; Timo ;  ; Kleveringa ; M ; 1B3 ; 3477
2913 ; Wina ;  ; Dubblinga ; V ; 1B3 ; 5941
2366 ; Jeffrey ;  ; Steginga ; M ; 1B3 ; 2119
2902 ; Eeuwout ;  ; Singelsma ; M ; 1B3 ; 5871
3019 ; Calista ;  ; Zanstra ; V ; 1B3 ; 6690
3038 ; Steff ;  ; Thedinga ; M ; 1B3 ; 6823
2539 ; Annelies ;  ; Loddema ; V ; 1B3 ; 3330
2855 ; Kaat ;  ; Poelsma ; V ; 1B3 ; 5535
3204 ; Kik ;  ; Galjema ; M ; 1B3 ; 7985
2576 ; Karel ;  ; Boutsema ; M ; 1B3 ; 3582
2555 ; Geerke ;  ; Douwma ; V ; 1B3 ; 3435
2750 ; William ;  ; Wijnsema ; M ; 1B3 ; 4807
2679 ; Telma ; de ; Santema ; V ; 1V1 ; 4296
3060 ; Ard ;  ; Sytzema ; M ; 1V1 ; 6977
2309 ; Geesje ;  ; Boerma ; V ; 1V1 ; 1699
3181 ; Maureen ;  ; Eysinga ; V ; 1V1 ; 7824
2389 ; Kaylee ;  ; Rotsma ; V ; 1V1 ; 2259
2468 ; Nilesh ;  ; Hansma ; M ; 1V1 ; 2826
2893 ; Jana ;  ; Harinxma ; V ; 1V1 ; 5801
3157 ; Rosa ; de ; Bruursema ; V ; 1V1 ; 7656
3064 ; Joran ;  ; Zoutsma ; M ; 1V1 ; 7005
3136 ; Parcival ;  ; Elenga ; M ; 1V1 ; 7509
3025 ; Mara ;  ; Froma ; V ; 1V1 ; 6732
2503 ; Florianne ;  ; Walma ; V ; 1V1 ; 3078
3223 ; Tianna ;  ; Boerema ; V ; 1V1 ; 8118
2906 ; Melroy ;  ; Westra ; M ; 1V1 ; 5899
3296 ; Remi  ;  ; Hooijenga ; M ; 1V1 ; 8629
2655 ; Akkelien ; van ; Postiena ; V ; 1V1 ; 4128
2403 ; Lotje ;  ; IJntema ; V ; 1V1 ; 2371
2923 ; Nova ;  ; Sanna ; V ; 1V1 ; 6018
2830 ; Ylmé ;  ; Mantinga ; M ; 1V1 ; 5367
2728 ; Reuven ;  ; Yedema ; M ; 1V1 ; 4653
2574 ; Geoffry ;  ; Zuininga ; M ; 1V1 ; 3561
2397 ; Barbara ;  ; Aukema ; V ; 1V1 ; 2315
2615 ; Welmoed ;  ; Unema ; V ; 1V1 ; 3855
2973 ; Maartje ; van ; Wekema ; V ; 1V1 ; 6368
3125 ; Gijsje ;  ; Sekema ; V ; 1V2 ; 7432
3135 ; Athalie ;  ; Copinga ; V ; 1V2 ; 7502
2871 ; Nessa ;  ; Heijenga ; V ; 1V2 ; 5647
2779 ; Marèl ;  ; Eenshuistra ; V ; 1V2 ; 5003
2985 ; Lara ;  ; Klimstra ; V ; 1V2 ; 6452
2355 ; Susanna ;  ; Frijda ; V ; 1V2 ; 2035
2299 ; Lieke ;  ; Sijtsinga ; V ; 1V2 ; 1643
2775 ; Francine ;  ; Ankringa ; V ; 1V2 ; 4975
2286 ; Ivo ;  ; Eikema ; M ; 1V2 ; 1559
3152 ; Geerten ;  ; Westera ; M ; 1V2 ; 7621
3190 ; Björn ;  ; Ratsma ; M ; 1V2 ; 7887
3255 ; Hendrika ;  ; Mecima ; V ; 1V2 ; 8342
2938 ; Sepp ;  ; Holmersma ; M ; 1V2 ; 6123
3055 ; Ulla ;  ; Peetsma ; V ; 1V2 ; 6942
2314 ; Edward ;  ; Klijnstra ; M ; 1V2 ; 1755
2852 ; Donovan ;  ; Libbinga ; M ; 1V2 ; 5521
2777 ; Joni ;  ; Boorsma ; V ; 1V2 ; 4989
2565 ; Annick ;  ; Penninga ; V ; 1V2 ; 3498
2959 ; Kristen ;  ; Hamstra ; V ; 1V2 ; 6270
2517 ; Hotske ;  ; Kema ; V ; 1V2 ; 3162
2803 ; Jorieke ;  ; Gudema ; V ; 1V2 ; 5171
2429 ; Ludmilla ;  ; Muntinga ; V ; 1V2 ; 2553
2413 ; Hadewig ;  ; Sipma ; V ; 1V2 ; 2427
3232 ; Gino ;  ; Leeuwma ; M ; 1V2 ; 8181
3088 ; Terence ;  ; Beima ; M ; 1V2 ; 7173
2883 ; Marlijn ;  ; Toomstra ; V ; 1H1 ; 5731
3089 ; Liesel ;  ; Bonnema ; V ; 1H1 ; 7180
2406 ; Jihan ;  ; Ongersma ; M ; 1H1 ; 2399
2259 ; Jolijn ;  ; Wijtema ; V ; 1H1 ; 1363
2911 ; Roselle ;  ; Boksma ; V ; 1H1 ; 5927
2520 ; Theofiel ;  ; Ouwinga ; M ; 1H1 ; 3183
2784 ; Henri ;  ; Koolma ; M ; 1H1 ; 5045
2802 ; Di-Jo ;  ; Gudema ; M ; 1H1 ; 5171
2798 ; Robrecht ;  ; Boelsma ; M ; 1H1 ; 5143
2424 ; Ezra ;  ; Haijenga ; M ; 1H1 ; 2511
3062 ; Florianus ;  ; Vriezema ; M ; 1H1 ; 6991
2267 ; Anne-Wil ;  ; Heerenga ; V ; 1H1 ; 1419
2352 ; Abel ;  ; Belksma ; M ; 1H1 ; 2007
2901 ; Aida ;  ; Ringsma ; V ; 1H1 ; 5857
2903 ; Clementine ;  ; Singelsma ; V ; 1H1 ; 5871
3075 ; Josien ;  ; Kroezinga ; V ; 1H1 ; 7082
2686 ; Lard ;  ; Bleijenga ; M ; 1H1 ; 4359
2481 ; Magda ;  ; Tiesinga ; V ; 1H1 ; 2910
2500 ; Ted ;  ; Staa ; M ; 1H1 ; 3057
3121 ; Adelheid ;  ; Meintema ; V ; 1H1 ; 7404
2341 ; Rineke ;  ; Medema ; V ; 1H1 ; 1923
2595 ; Irliana ; van ; Wielema ; V ; 1H1 ; 3708
2305 ; Zwaniek ;  ; Weistra ; V ; 1H1 ; 1671
2749 ; Floor ;  ; Tuizenga ; V ; 1H1 ; 4793
2977 ; Tijtje ; de ; Boersema ; V ; 1H1 ; 6396
2706 ; Leendert ;  ; Volbeda ; M ; 1H1 ; 4485
2722 ; Cisse ;  ; Scheninga ; M ; 1H1 ; 4611
2888 ; Ryan ;  ; Bossinga ; M ; 1H1 ; 5773
2889 ; Aukelien ;  ; Bossinga ; V ; 1H2 ; 5773
2436 ; Joeri ;  ; Tekstra ; M ; 1H2 ; 2595
3173 ; Albertine ; van ; Turkstra ; V ; 1H2 ; 7768
3042 ; Ferdy ;  ; Akkerma ; M ; 1H2 ; 6851
2858 ; Rudi ;  ; Steeksma ; M ; 1H2 ; 5563
2548 ; Pablo ;  ; Weijma ; M ; 1H2 ; 3393
2829 ; Joyra ;  ; Kapma ; V ; 1H2 ; 5353
2307 ; Caty ;  ; Boerma ; V ; 1H2 ; 1699
2698 ; Reindert ;  ; Reidinga ; M ; 1H2 ; 4443
2702 ; Charlie  ;  ; Smedinga ; M ; 1H2 ; 4464
2239 ; Tooske ;  ; Beertema ; V ; 1H2 ; 1223
2671 ; Eske ;  ; Jongsma ; V ; 1H2 ; 4254
2770 ; Wodan ;  ; Tjaardstra ; M ; 1H2 ; 4947
3142 ; Gareth ;  ; Korringa ; M ; 1H2 ; 7551
3172 ; Gerbrand ;  ; Teenstra ; M ; 1H2 ; 7761
3208 ; Tyrone ;  ; Jurrema ; M ; 1H2 ; 8013
2650 ; Valentijn ;  ; Kraaijinga ; M ; 1H2 ; 4107
2501 ; Brunhilde ;  ; Staa ; V ; 1H2 ; 3057
2835 ; Veroniek ;  ; Schoustra ; V ; 1H2 ; 5395
2860 ; Yourie ;  ; Ukena ; M ; 1H2 ; 5577
2399 ; Emeline ;  ; Elzinga ; V ; 1H2 ; 2343
2969 ; Faya ;  ; Sijtsma ; V ; 1H2 ; 6340
2654 ; Gjalt ; van ; Postiena ; M ; 1H2 ; 4128
2774 ; Hendrik ;  ; Ankringa ; M ; 1H2 ; 4975
2995 ; Finne ;  ; Wagena ; V ; 1H2 ; 6522
3281 ; Hildegard ;  ; Scharringa ; V ; 1H2 ; 8524
2899 ; Swanhilde ;  ; Oldersma ; V ; 1H2 ; 5843
2322 ; Zinedine ;  ; Tammenga ; M ; 1M1 ; 1811
3059 ; Doro ; van de ; Spaanstra ; V ; 1M1 ; 6970
2875 ; Adisa ;  ; Laninga ; V ; 1M1 ; 5675
2980 ; Alex ;  ; Flokstra ; M ; 1M1 ; 6417
3309 ; Lexi ;  ; Wijbinga ; V ; 1M1 ; 8720
2553 ; Caroline ;  ; Batema ; V ; 1M1 ; 3414
2409 ; Aletta ;  ; Ongersma ; V ; 1M1 ; 2399
2792 ; Denny ;  ; Thoma ; M ; 1M1 ; 5101
2931 ; Haitske ;  ; Bandsema ; V ; 1M1 ; 6074
2288 ; Matthew ;  ; Eikema ; M ; 1M1 ; 1559
2415 ; Kimberly ;  ; Wibena ; V ; 1M1 ; 2455
2895 ; Lobke ;  ; IJbema ; V ; 1M1 ; 5815
2410 ; Simon ;  ; Sipma ; M ; 1M1 ; 2427
2566 ; Kaeso ;  ; Siebinga ; M ; 1M1 ; 3519
2785 ; Annechien ;  ; Koolma ; V ; 1M1 ; 5045
2787 ; Doortje ;  ; Norda ; V ; 1M1 ; 5059
2383 ; Agatha ;  ; Leegsma ; V ; 1M1 ; 2231
3092 ; Franciscus ;  ; Frankema ; M ; 1M1 ; 7201
3197 ; Tessa ; de ; Wierda ; V ; 1M1 ; 7936
3046 ; Nikolaas ;  ; Doringa ; M ; 1M1 ; 6879
2425 ; Estelle ;  ; Jorna ; V ; 1M1 ; 2532
3041 ; Siewke ;  ; Woldinga ; V ; 1M1 ; 6844
3077 ; Marie-Jeanne ; de ; Oostema ; V ; 1M1 ; 7096
2533 ; Margit ; van ; Galema ; V ; 1M1 ; 3288
3177 ; Gwendoline ; de ; Balta ; V ; 1M1 ; 7796
2971 ; Jetske ;  ; Tiemensma ; V ; 1M1 ; 6354
3132 ; Gabor ;  ; Asma ; M ; 1M1 ; 7481
2302 ; Zacharias ;  ; Weistra ; M ; 1M1 ; 1671
3314 ; Leroy ;  ; Damsma ; M ; 1M1 ; 8755
2797 ; Ziva ;  ; Albada ; V ; 1M1 ; 5129
3273 ; Priscilla ; van ; Hiddema ; V ; 1M2 ; 8468
2793 ; Myrrhe ;  ; Thoma ; V ; 1M2 ; 5101
2851 ; Chemàyne ;  ; Joukema ; V ; 1M2 ; 5507
