1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
1139 ; dhr. ; E. ;  ; Lousma ; ouder ; Ronsseweg ; 11 ; Gouda ; 2803 ZB ; 06-1297321 ; 0182-297321 ; Lousma@hetweb.nl
1167 ; dhr. ; I. ;  ; Schingenga ; ouder ; Romerostraat ; 21 ; Gouda ; 2807 RK ; 06-1361889 ; 0182-361889 ; Schingenga@xs4you.nl
1195 ; dhr. ; M. ;  ; Velema ; ouder ; Beatrixlaan ; 31 ; Reeuwijk ; 2811 LZ ; 06-1428025 ; 0182-428025 ; Velema@zoggi.nl
1223 ; dhr. ; Q. ;  ; Beertema ; ouder ; Runmolenerf ; 8 ; Gouda ; 2807 DT ; 06-1495729 ; 0182-495729 ; Beertema@freeweb.com
1251 ; dhr. ; U. ;  ; Folbeda ; ouder ; Keizerstraat ; 18 ; Gouda ; 2801 NJ ; 06-1565001 ; 0182-565001 ; Folbeda@gmailer.com
1279 ; dhr. ; Y. ;  ; Jolsma ; ouder ; Oostboezemkade ; 28 ; Gouda ; 2805 JG ; 06-1635841 ; 0182-635841 ; Jolsma@hotmailing.com
1307 ; dhr. ; C. ;  ; Pijpstra ; ouder ; Beringlaan ; 5 ; Gouda ; 2803 GA ; 06-1708249 ; 0182-708249 ; Pijpstra@planeet.nl
1335 ; dhr. ; G.Th. ;  ; Stania ; ouder ; Irisstraat ; 15 ; Stolwijk ; 2821 SJ ; 06-1782225 ; 0182-782225 ; Stania@hetweb.nl
1363 ; dhr. ; K. ;  ; Wijtema ; ouder ; Zuidelijk Halfrond ; 25 ; Gouda ; 2801 DD ; 06-1857769 ; 0182-857769 ; Wijtema@xs4you.nl
1391 ; dhr. ; O. ;  ; Brandsema ; ouder ; Orchislaan ; 2 ; Reeuwijk ; 2811 CS ; 06-1934881 ; 0182-934881 ; Brandsema@zoggi.nl
1419 ; dhr. ; S. ;  ; Heerenga ; ouder ; Klimopstraat ; 12 ; Gouda ; 2802 KP ; 06-2013561 ; 0182-13561 ; Heerenga@freeweb.com
1447 ; dhr. ; W. ;  ; Kylstra ; ouder ; Lethmaetstraat ; 22 ; Gouda ; 2802 KA ; 06-2093809 ; 0182-93809 ; Kylstra@gmailer.com
1475 ; dhr. ; A. ;  ; Roelsma ; ouder ; Derde Kade ; 32 ; Gouda ; 2806 RP ; 06-2175625 ; 0182-175625 ; Roelsma@hotmailing.com
1503 ; dhr. ; E. ;  ; Tjalsma ; ouder ; Reeuwijkse Poort ; 9 ; Reeuwijk ; 2811 MZ ; 06-2259009 ; 0182-259009 ; Tjalsma@planeet.nl
1531 ; dhr. ; I. ;  ; Apma ; ouder ; Rossinistraat ; 19 ; Gouda ; 2807 HK ; 06-2343961 ; 0182-343961 ; Apma@hetweb.nl
1559 ; dhr. ; M. ;  ; Eikema ; ouder ; Papaverstraat ; 29 ; Stolwijk ; 2821 VV ; 06-2430481 ; 0182-430481 ; Eikema@xs4you.nl
1587 ; dhr. ; Q. ;  ; Idserda ; ouder ; Kluitmanstraat ; 6 ; Gouda ; 2804 JR ; 06-2518569 ; 0182-518569 ; Idserda@zoggi.nl
1615 ; dhr. ; U. ;  ; Ockema ; ouder ; Van Heuven Goedhartstraat ; 16 ; Reeuwijk ; 2811 BZ ; 06-2608225 ; 0182-608225 ; Ockema@freeweb.com
1643 ; dhr. ; Y. ;  ; Sijtsinga ; ouder ; Eikelaan ; 26 ; Gouda ; 2803 SL ; 06-2699449 ; 0182-699449 ; Sijtsinga@gmailer.com
1671 ; dhr. ; C. ;  ; Weistra ; ouder ; Wilde Wingerdlaan ; 3 ; Gouda ; 2803 VV ; 06-2792241 ; 0182-792241 ; Weistra@hotmailing.com
1699 ; dhr. ; G. ;  ; Boerma ; ouder ; 't Kerkestuk ; 13 ; Reeuwijk ; 2811 BJ ; 06-2886601 ; 0182-886601 ; Boerma@planeet.nl
1727 ; dhr. ; K. ;  ; Haaisma ; ouder ; Koolwijkseweg ; 23 ; Stolwijk ; 2821 NS ; 06-2982529 ; 0182-982529 ; Haaisma@hetweb.nl
1755 ; dhr. ; O. ;  ; Klijnstra ; ouder ; Markt ; 33 ; Gouda ; 2801 JJ ; 06-3080025 ; 0182-80025 ; Klijnstra@xs4you.nl
1783 ; dhr. ; S. ; Voogdholst ; voogd ; ouder ; Nansenstraat ; 10 ; Gouda ; 2806 HN ; 06-3179089 ; 0182-179089 ; Renia@zoggi.nl
1811 ; dhr. ; W. ;  ; Tammenga ; ouder ; Wipmolenerf ; 20 ; Gouda ; 2807 DJ ; 06-3279721 ; 0182-279721 ; Tammenga@freeweb.com
